title,year,director,critic_rating,user_rating,distributor,release_date_us,budget,rev_opening_weekend_NA,rev_NA,rev_not_NA,rev_worldwide
The Marvels,2023,Nia DaCosta,62.0,81.0,Walt Disney Studios Motion Pictures,"November 10, 2023",274.8,46110859.0,84.500223,121636602.0,206.136825
Guardians of the Galaxy Vol. 3,2023,James Gunn,82.0,94.0,Walt Disney Studios Motion Pictures,"May 5, 2023",250.0,118414021.0,358.995815,486559962.0,845.555777
Black Panther: Wakanda Forever,2022,Ryan Coogler,84.0,94.0,Walt Disney Studios Motion Pictures,"November 11, 2022",250.0,181339761.0,453.82906,405378853.0,859.207913
Thor: Love and Thunder,2022,Taika Waititi,63.0,76.0,Walt Disney Studios Motion Pictures,"July 8, 2022",200.0,144165107.0,343.25683,417671251.0,760.928081
Doctor Strange in the Multiverse of Madness,2022,Sam Raimi,74.0,85.0,Walt Disney Studios Motion Pictures,"May 6, 2022",200.0,187420998.0,411.331607,544444197.0,955.775804
Spider-Man: No Way Home,2021,Jon Watts,93.0,97.0,Sony Pictures,"December 17, 2021",200.0,260138569.0,814.11507,1107732041.0,1921.847111
Eternals,2021,Chloé Zhao,47.0,77.0,Walt Disney Studios Motion Pictures,"November 5, 2021",200.0,85021497.0,164.870234,237194665.0,402.064899
Shang-Chi and the Legend of the Ten Rings,2021,Destin Daniel Cretton,92.0,98.0,Walt Disney Studios Motion Pictures,"September 3, 2021",150.0,75388688.0,224.543292,207700000.0,432.243292
Black Widow,2021,Cate Shortl,79.0,91.0,Walt Disney Studios Motion Pictures,"July 9, 2021",200.0,80366312.0,183.651665,195979696.0,379.631351
Spider-Man: Far From Home,2019,Jon Watts,91.0,95.0,Sony Pictures,"July 2, 2019",160.0,92579212.0,390.532085,741395911.0,1131.927996
Avengers: Endgame,2019,Anthony Russo,94.0,90.0,Walt Disney Studios Motion Pictures,"April 26, 2019",356.0,357115007.0,858.373,1937901401.0,2797.800564
Captain Marvel,2019,Anna Boden,79.0,45.0,Walt Disney Studios Motion Pictures,"March 8, 2019",152.0,153433423.0,426.829839,701444955.0,1128.274794
Avengers: Infinity War,2018,Anthony Russo,85.0,92.0,Walt Disney Studios Motion Pictures,"April 27, 2018",316.0,257698183.0,678.815482,1369544272.0,2048.359754
Black Panther,2018,Ryan Coogler,96.0,79.0,Walt Disney Studios Motion Pictures,"February 16, 2018",200.0,202003951.0,700.059566,646853595.0,1346.913161
Thor: Ragnarok,2017,Taika Waititi,93.0,87.0,Walt Disney Studios Motion Pictures,"November 3, 2017",180.0,122744989.0,315.058289,538918837.0,853.977126
Spider-Man: Homecoming,2017,Jon Watts,92.0,87.0,Sony Pictures,"July 7, 2017",175.0,117027503.0,334.20114,545965784.0,880.166924
Guardians of the Galaxy Vol. 2,2017,James Gunn,85.0,87.0,Walt Disney Studios Motion Pictures,"May 5, 2017",200.0,146510104.0,389.813101,473942950.0,863.756051
Doctor Strange,2016,Scott Derrickson,89.0,86.0,Walt Disney Studios Motion Pictures,"November 4, 2016",165.0,85058311.0,232.64192,445076475.0,677.718395
Captain America: Civil War,2016,Anthony Russo,90.0,89.0,Walt Disney Studios Motion Pictures,"May 6, 2016",250.0,179139142.0,408.084349,745220146.0,1153.304495
Ant-Man,2015,Peyton Reed,83.0,85.0,Walt Disney Studios Motion Pictures,"July 17, 2015",130.0,57225526.0,180.202163,339109802.0,519.311965
Avengers: Age of Ultron,2015,Joss Whedon,76.0,82.0,Walt Disney Studios Motion Pictures,"May 1, 2015",250.0,191271109.0,459.005868,946397826.0,1405.403694
Guardians of the Galaxy,2014,James Gunn,92.0,92.0,Walt Disney Studios Motion Pictures,"August 1, 2014",170.0,94320883.0,333.1766,440152029.0,773.328629
Captain America: The Winter Soldier,2014,Anthony Russo,90.0,92.0,Walt Disney Studios Motion Pictures,"April 4, 2014",170.0,95023721.0,259.766572,454497695.0,714.264267
Thor: The Dark World,2013,Alan Taylor,67.0,75.0,Walt Disney Studios Motion Pictures,"November 8, 2013",170.0,85737841.0,206.36214,438209262.0,644.571402
Iron Man 3,2013,Shane Black,79.0,78.0,Walt Disney Studios Motion Pictures,"May 3, 2013",200.0,174144585.0,409.013994,805797258.0,1214.811252
Captain America: The First Avenger,2011,Joe Johnston,80.0,75.0,Paramount Pictures,"July 22, 2011",140.0,65058524.0,176.654505,193915269.0,370.569774
Thor,2011,Kenneth Branagh,77.0,76.0,Paramount Pictures,"May 6, 2011",150.0,65723338.0,181.030624,268295994.0,449.326618
Iron Man 2,2010,Jon Favreau,72.0,71.0,Paramount Pictures,"May 7, 2010",200.0,128122480.0,312.433331,311500000.0,623.933331
The Incredible Hulk,2008,Louis Leterrier,68.0,69.0,Universal Pictures,"June 13, 2008",150.0,55414050.0,134.806913,128620638.0,263.427551
Iron Man,2008,Jon Favreau,94.0,91.0,Paramount Pictures,"May 2, 2008",140.0,98618668.0,318.412101,266762121.0,585.174222
